,primary,primary,primary_multiclass,primary_multiclass,primary_multiclass,primary_multiclass
CH4380_4380L7.,,,,,,
CH4380_4380LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4380_4380R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4380_4380R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4380_4380R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4380_4380RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4732_44732R4,,,,,,
CH4732_44732R66,,,,,,
CH4732_4732L5,,,,,,
CH4732_4732L6,,,,,,
CH4732_4732L7,,,,,,
CH4732_4732LV,,,,,,
CH4732_4732R5,,,,,,
CH4732_4732RV,,,,,,
TN5021_5021L5.2ND,,,,,,
TN5021_5021L5,,,,,,
TN5021_5021L6,,,,,,
TN5021_5021L7,,,,,,
TN5021_5021LV,,,,,,
TN5021_5021R4,,,,,,
TN5021_5021R5,,,,,,
TN5021_5021R6,,,,,,
CH4739_4739L5,0.0,1.0,0.0,0.0,0.0,1.0
CH4739_4739L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4739_4739L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4739_4739LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4739_4739R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4739_4739R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4739_4739R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4739_4739RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4884_4884RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_49011L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901LV,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901R5,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901R6,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_4901RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4901_5021RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4737_47337LV,,,,,,
CH4838_48338R5,,,,,,
OR4701_47011LV,,,,,,
OR4701_4701L5,,,,,,
OR4701_4701L6,,,,,,
OR4701_4701L7,,,,,,
OR4701_4701R4,,,,,,
OR4701_4701R5,,,,,,
OR4701_4701R6,,,,,,
OR4701_4701RV,,,,,,
OR4759_4759L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4759_4759L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4759_4759L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4759_4759LV,0.0,1.0,0.0,0.0,0.0,1.0
OR4759_4759R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4759_4759R5,0.0,1.0,0.0,0.0,1.0,0.0
OR4759_4759R6,1.0,0.0,1.0,0.0,0.0,0.0
OR4759_4759RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4851_48511L5,,,,,,
OR4851_4851L6,,,,,,
OR4851_4851L7,,,,,,
OR4851_4851LV,,,,,,
OR4851_4851R4,,,,,,
OR4851_4851R5,,,,,,
OR4851_4851R6,,,,,,
OR4851_4851RV,,,,,,
CH4867_4867L5,,,,,,
CH4867_4867L6,,,,,,
CH4867_4867L7,,,,,,
CH4867_4867LV,,,,,,
CH4867_4867R4,,,,,,
CH4867_4867R5,,,,,,
CH4867_4867R6,,,,,,
CH4867_4867RV,,,,,,
OR5263_52633LV,,,,,,
OR5263_5263L5,,,,,,
OR5263_5263L6,,,,,,
OR5263_5263L7,,,,,,
OR5263_5263R4,,,,,,
OR5263_5263R5,,,,,,
OR5263_5263R6,,,,,,
OR5263_5263RV,,,,,,
TN5025_50255R5,,,,,,
TN5025_5025L5,,,,,,
TN5025_5025L6,,,,,,
TN5025_5025LV,,,,,,
TN5025_5025R4,,,,,,
TN5025_5025R6,,,,,,
TN5025_5025RV,,,,,,
WT5147_5147L5,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147L6,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147L7,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147LV,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147R4,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147R5,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147R6,1.0,0.0,1.0,0.0,0.0,0.0
WT5147_5147RV,1.0,0.0,1.0,0.0,0.0,0.0
PK4450_4450L5,,,,,,
PK4450_4450L6,,,,,,
PK4450_4450L7.,,,,,,
PK4450_4450LV,,,,,,
PK4450_4450R4,,,,,,
PK4450_4450R5,,,,,,
PK4450_4450R6,,,,,,
PK4450_4450RV,,,,,,
CH4573_4573L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4573_4573L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4573_4573LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4573_4573R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4573_4573R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4573_4573R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4573_4573RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650L,,,,,,
CH4650_4650L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4650_4650RV,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_51033LV,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_5103L5,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_5103L6,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_5103LL7,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_5103R,,,,,,
GN5103_5103R4,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_5103R6,1.0,0.0,1.0,0.0,0.0,0.0
GN5103_5103RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4837_4837L5,,,,,,
CH4837_4837L6,,,,,,
CH4837_4837L7,,,,,,
CH4837_4837LV,,,,,,
CH4837_4837R4,,,,,,
CH4837_4837R5,,,,,,
CH4837_4837R55,,,,,,
CH4837_4837R66,,,,,,
CH4837_4837RV,,,,,,
CH4837_4867R5.3,,,,,,
WT5167_5167L5,,,,,,
WT5167_5167L7,,,,,,
WT5167_5167LV,,,,,,
WT5167_5167R4,,,,,,
WT5167_5167R55,,,,,,
WT5167_5167R6,,,,,,
WT5167_5167RVV,,,,,,
WT5177_5177L5,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177L6,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177L7,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177LL6,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177LV,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177R4,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177R5,1.0,0.0,1.0,0.0,0.0,0.0
WT5177_5177RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4867_4867L5,,,,,,
GN4867_4867L6,,,,,,
GN4867_4867L7,,,,,,
GN4867_4867LV,,,,,,
GN4867_4867R4,,,,,,
GN4867_4867R5,,,,,,
GN4867_4867R6,,,,,,
GN4867_4867RV,,,,,,
OR5175_5175L5,,,,,,
OR5175_5175L6,,,,,,
OR5175_5175L7,,,,,,
OR5175_5175LV,,,,,,
OR5175_5175R4,,,,,,
OR5175_5175R6,,,,,,
OR5175_5175RV,,,,,,
OR4691_4691L5,,,,,,
OR4691_4691L7,,,,,,
OR4691_4691LV,,,,,,
OR4691_4691R4,,,,,,
OR4691_4691R5,,,,,,
OR4691_4691R6,,,,,,
OR4691_4691RV,,,,,,
OR4859_4859L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4859_4859L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4859_4859L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4859_4859R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4859_4859R6,1.0,0.0,1.0,0.0,0.0,0.0
OR4859_4859RR5,1.0,0.0,1.0,0.0,0.0,0.0
OR4859_4859RV,1.0,0.0,1.0,0.0,0.0,0.0
